datetime,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,temp,feelslike,humidity,precip,preciptype,snow,snowdepth,windspeed,cloudcover,visibility,conditions,icon
2020-03-31,0.0,0.0,0,0,0,0,0,0,Unspecified,None,Bike,None,44.1,40.2,79.7,0.004,rain,0.0,0.0,14.7,93.3,9.3,"Rain, Overcast",rain
2020-04-02,4.0,0.0,0,0,0,0,4,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Sedan,Sedan,50.0,49.0,45.9,0.0,none,0.0,0.0,8.2,38.0,9.9,Partially cloudy,partly-cloudy-day
2020-04-10,0.0,0.0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,44.8,40.3,54.9,0.001,rain,0.0,0.0,20.4,62.4,9.9,"Rain, Partially cloudy",rain
2020-04-11,1.0,0.0,0,0,1,0,0,0,Unspecified,None,Station Wagon/Sport Utility Vehicle,Bike,48.4,47.0,37.9,0.0,none,0.0,0.0,14.8,8.5,9.9,Clear,clear-day
2020-04-12,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Motorcycle,Motorcycle,54.1,53.9,52.7,0.0,none,0.0,0.0,10.2,23.3,9.9,Partially cloudy,partly-cloudy-day
2020-04-13,0.0,0.0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,Sedan,Bike,58.3,58.3,85.8,1.146,rain,0.0,0.0,18.5,74.0,7.6,"Rain, Partially cloudy",rain
2020-04-14,0.0,0.0,0,0,0,0,0,0,Unspecified,None,Sedan,None,53.3,52.7,47.8,0.0,none,0.0,0.0,10.0,24.1,9.9,Partially cloudy,partly-cloudy-day
2020-04-15,1.0,0.0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,Station Wagon/Sport Utility Vehicle,None,49.0,47.3,41.9,0.0,none,0.0,0.0,11.4,30.4,9.9,Partially cloudy,partly-cloudy-day
2020-04-16,0.0,0.0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,Sedan,Sedan,46.7,43.1,41.9,0.009,rain,0.0,0.0,15.0,56.0,9.9,"Rain, Partially cloudy",rain
2020-04-17,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,PK,Pick-up Truck,43.7,39.5,52.0,0.001,rain,0.0,0.0,17.9,34.3,9.9,"Rain, Partially cloudy",rain
2020-04-18,1.0,0.0,0,0,0,0,1,0,Driver Inexperience,None,Sedan,None,45.4,42.0,78.0,0.026,rain,0.0,0.0,11.3,71.7,9.1,"Rain, Partially cloudy",rain
2020-04-19,0.0,0.0,0,0,0,0,0,0,Unsafe Speed,Unspecified,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,50.7,48.9,50.1,0.0,none,0.0,0.0,15.7,18.4,9.9,Clear,clear-day
2020-04-20,0.0,0.0,0,0,0,0,0,0,Turning Improperly,Unspecified,Sedan,Taxi,53.4,53.3,47.8,0.0,none,0.0,0.0,10.2,23.6,9.9,Partially cloudy,partly-cloudy-day
2020-04-21,1.0,0.0,1,0,0,0,0,0,Oversized Vehicle,None,AMBU,None,50.3,49.0,66.2,0.05,rain,0.0,0.0,14.5,23.5,9.7,"Rain, Partially cloudy",rain
2020-04-22,0.0,0.0,0,0,0,0,0,0,Unspecified,None,Sedan,None,45.7,43.5,36.1,0.0,none,0.0,0.0,14.8,30.8,9.9,Partially cloudy,partly-cloudy-day
2020-04-23,0.0,0.0,0,0,0,0,0,0,Unsafe Speed,None,Sedan,None,45.7,44.1,42.9,0.001,rain,0.0,0.0,8.0,45.0,9.9,"Rain, Partially cloudy",rain
2020-04-24,1.0,0.0,0,0,0,0,1,0,Driver Inattention/Distraction,None,Moped,None,47.2,42.8,88.5,0.063,rain,0.0,0.0,20.1,88.9,8.3,"Rain, Partially cloudy",rain
